[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m^2.2 ]
1.05705172e-01, 3.73672539e+04
1.05905369e-01, 3.74511914e+04
1.06105566e-01, 3.75357930e+04
1.06305763e-01, 3.76210820e+04
1.06505960e-01, 3.77070469e+04
1.06706157e-01, 3.77936953e+04
1.06906354e-01, 3.78810508e+04
1.07106552e-01, 3.79691211e+04
1.07306749e-01, 3.80579023e+04
1.07506946e-01, 3.81474180e+04
1.07707143e-01, 3.82376758e+04
1.07907340e-01, 3.83286875e+04
1.08107537e-01, 3.84204688e+04
1.08307734e-01, 3.85130156e+04
1.08507931e-01, 3.86063438e+04
1.08708128e-01, 3.87004766e+04
1.08908325e-01, 3.87954023e+04
1.09108523e-01, 3.88911719e+04
1.09308720e-01, 3.89877539e+04
1.09508917e-01, 3.90851953e+04
1.09709114e-01, 3.91834844e+04
1.09909311e-01, 3.92826484e+04
1.10109508e-01, 3.93826875e+04
1.10309705e-01, 3.94836445e+04
1.10509902e-01, 3.95854844e+04
1.10710099e-01, 3.96882695e+04
1.10910296e-01, 3.97919922e+04
1.11110494e-01, 3.98966680e+04
1.11310691e-01, 4.00189180e+04
1.11510888e-01, 4.01729414e+04
1.11711085e-01, 4.03290586e+04
1.11911282e-01, 4.04873203e+04
1.12111479e-01, 4.06477734e+04
1.12311676e-01, 4.08104805e+04
1.12511873e-01, 4.09754805e+04
1.12712070e-01, 4.11428594e+04
1.12912267e-01, 4.13126406e+04
1.13112465e-01, 4.14848984e+04
1.13312662e-01, 4.16596953e+04
1.13512859e-01, 4.18429922e+04
1.13713056e-01, 4.20372969e+04
1.13913253e-01, 4.22060586e+04
1.14113450e-01, 4.23510391e+04
1.14313647e-01, 4.24990313e+04
1.14513844e-01, 4.26539297e+04
1.14714041e-01, 4.28108203e+04
1.14914238e-01, 4.29697578e+04
1.15114436e-01, 4.31307734e+04
1.15314633e-01, 4.32939141e+04
1.15514830e-01, 4.34592461e+04
1.15715027e-01, 4.36268086e+04
1.15915224e-01, 4.37966406e+04
1.16115421e-01, 4.39688281e+04
1.16315618e-01, 4.41433945e+04
1.16515815e-01, 4.43204141e+04
1.16716012e-01, 4.44999414e+04
1.16916209e-01, 4.46820508e+04
1.17116407e-01, 4.48667891e+04
1.17316604e-01, 4.50542227e+04
1.17516801e-01, 4.52444375e+04
1.17716998e-01, 4.54374688e+04
1.17917195e-01, 4.56334414e+04
1.18117392e-01, 4.58323945e+04
1.18317589e-01, 4.60344102e+04
1.18517786e-01, 4.62395938e+04
1.18717983e-01, 4.64487852e+04
1.18918180e-01, 4.66739609e+04
1.19118378e-01, 4.69029961e+04
1.19318575e-01, 4.71360273e+04
1.19518772e-01, 4.73731484e+04
1.19718969e-01, 4.76145078e+04
1.19919166e-01, 4.78602227e+04
1.20119363e-01, 4.81104414e+04
1.20319560e-01, 4.83652852e+04
1.20519757e-01, 4.86249180e+04
1.20719954e-01, 4.88895039e+04
1.20920151e-01, 4.91591875e+04
1.21120349e-01, 4.94341602e+04
1.21320546e-01, 4.97145820e+04
1.21520743e-01, 5.00006563e+04
1.21720940e-01, 5.02520430e+04
1.21921137e-01, 5.04833164e+04
1.22121334e-01, 5.07183477e+04
1.22321531e-01, 5.09572656e+04
1.22521728e-01, 5.12001719e+04
1.22721925e-01, 5.14471758e+04
1.22922122e-01, 5.16984063e+04
1.23122320e-01, 5.19539648e+04
1.23322517e-01, 5.22140156e+04
1.23522714e-01, 5.24786758e+04
1.23722911e-01, 5.27480938e+04
1.23923108e-01, 5.30224141e+04
1.24123305e-01, 5.33017891e+04
1.24323502e-01, 5.35863867e+04
1.24523699e-01, 5.38763906e+04
1.24723896e-01, 5.41687422e+04
1.24924093e-01, 5.44623125e+04
1.25124291e-01, 5.47586133e+04
1.25324488e-01, 5.50479102e+04
1.25524685e-01, 5.53426094e+04
1.25724882e-01, 5.56429297e+04
1.25925079e-01, 5.59490195e+04
1.26125276e-01, 5.62610781e+04
1.26325473e-01, 5.65793242e+04
1.26525670e-01, 5.69039531e+04
1.26725867e-01, 5.72351992e+04
1.26926064e-01, 5.75733008e+04
1.27126262e-01, 5.79184922e+04
1.27326459e-01, 5.82710391e+04
1.27526656e-01, 5.86312109e+04
1.27726853e-01, 5.89993047e+04
1.27927050e-01, 5.93756094e+04
1.28127247e-01, 5.97604531e+04
1.28327444e-01, 6.01541719e+04
1.28527641e-01, 6.05571289e+04
1.28727838e-01, 6.09696680e+04
1.28928035e-01, 6.13922383e+04
1.29128233e-01, 6.18254023e+04
1.29328430e-01, 6.22777383e+04
1.29528627e-01, 6.27420898e+04
1.29728824e-01, 6.32187734e+04
1.29929021e-01, 6.37083945e+04
1.30129218e-01, 6.42115547e+04
1.30329415e-01, 6.47288945e+04
1.30529612e-01, 6.52611250e+04
1.30729809e-01, 6.58090078e+04
1.30930007e-01, 6.63733047e+04
1.31130204e-01, 6.69549297e+04
1.31330401e-01, 6.75547891e+04
1.31530598e-01, 6.80931953e+04
1.31730795e-01, 6.83568906e+04
1.31930992e-01, 6.86241953e+04
1.32131189e-01, 6.88952109e+04
1.32331386e-01, 6.91699922e+04
1.32531583e-01, 6.94486406e+04
1.32731780e-01, 6.97312734e+04
1.32931978e-01, 7.00179688e+04
1.33132175e-01, 7.03088359e+04
1.33332372e-01, 7.06039688e+04
1.33532569e-01, 7.09034922e+04
1.33732766e-01, 7.12075156e+04
1.33932963e-01, 7.15161406e+04
1.34133160e-01, 7.18294844e+04
1.34333357e-01, 7.21477188e+04
1.34533554e-01, 7.24709219e+04
1.34733751e-01, 7.27992578e+04
1.34933949e-01, 7.31328750e+04
1.35134146e-01, 7.34718750e+04
1.35334343e-01, 7.38164453e+04
1.35534540e-01, 7.41667500e+04
1.35734737e-01, 7.45229453e+04
1.35934934e-01, 7.48888906e+04
1.36135131e-01, 7.52975078e+04
1.36335328e-01, 7.57140625e+04
1.36535525e-01, 7.61387813e+04
1.36735722e-01, 7.65719531e+04
1.36935920e-01, 7.70138672e+04
1.37136117e-01, 7.74648516e+04
1.37336314e-01, 7.79252109e+04
1.37536511e-01, 7.83952813e+04
1.37736708e-01, 7.88754375e+04
1.37936905e-01, 7.93660625e+04
1.38137102e-01, 7.98675313e+04
1.38337299e-01, 8.03802500e+04
1.38537496e-01, 8.09047031e+04
1.38737693e-01, 8.14413125e+04
1.38937891e-01, 8.19905781e+04
1.39138088e-01, 8.25530313e+04
1.39338285e-01, 8.31292578e+04
1.39538482e-01, 8.37197813e+04
1.39738679e-01, 8.43252656e+04
1.39938876e-01, 8.49463516e+04
1.40139073e-01, 8.55837500e+04
1.40339270e-01, 8.62382031e+04
1.40539467e-01, 8.69379844e+04
1.40739664e-01, 8.77023750e+04
1.40939862e-01, 8.84907969e+04
1.41140059e-01, 8.93045938e+04
1.41340256e-01, 9.01452344e+04
1.41540453e-01, 9.10142031e+04
1.41740650e-01, 9.19132422e+04
1.41940847e-01, 9.26103125e+04
1.42141044e-01, 9.32577891e+04
1.42341241e-01, 9.39213672e+04
1.42541438e-01, 9.46017891e+04
1.42741635e-01, 9.52997578e+04
1.42941833e-01, 9.60161016e+04
1.43142030e-01, 9.67516641e+04
1.43342227e-01, 9.74822891e+04
1.43542424e-01, 9.82230781e+04
1.43742621e-01, 9.89839453e+04
1.43942818e-01, 9.97658359e+04
1.44143015e-01, 1.00457406e+05
1.44343212e-01, 1.01053633e+05
1.44543409e-01, 1.01662422e+05
1.44743606e-01, 1.02284227e+05
1.44943804e-01, 1.02919578e+05
1.45144001e-01, 1.03568945e+05
