[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m ]
8.58856589e-02, 4.58699756e+03
8.60858560e-02, 4.60091699e+03
8.62860531e-02, 4.60734912e+03
8.64862502e-02, 4.60533203e+03
8.66864473e-02, 4.60331787e+03
8.68866444e-02, 4.60130811e+03
8.70868415e-02, 4.59929980e+03
8.72870386e-02, 4.59729541e+03
8.74872357e-02, 4.59529297e+03
8.76874328e-02, 4.59329492e+03
8.78876299e-02, 4.59130029e+03
8.80878270e-02, 4.58930664e+03
8.82880241e-02, 4.58731836e+03
8.84882212e-02, 4.58533154e+03
8.86884183e-02, 4.58334766e+03
8.88886154e-02, 4.59093896e+03
8.90888125e-02, 4.60728174e+03
8.92890096e-02, 4.62382910e+03
8.94892067e-02, 4.64058691e+03
8.96894038e-02, 4.65755859e+03
8.98896009e-02, 4.67475049e+03
9.00897980e-02, 4.69216553e+03
9.02899951e-02, 4.70981055e+03
9.04901922e-02, 4.72768945e+03
9.06903893e-02, 4.74580908e+03
9.08905864e-02, 4.76417285e+03
9.10907835e-02, 4.78278809e+03
9.12909806e-02, 4.80166064e+03
9.14911777e-02, 4.82079688e+03
9.16913748e-02, 4.84020166e+03
9.18915719e-02, 4.85988330e+03
9.20917690e-02, 4.87984766e+03
9.22919661e-02, 4.90010254e+03
9.24921632e-02, 4.92065430e+03
9.26923603e-02, 4.94151123e+03
9.28925574e-02, 4.96268066e+03
9.30927545e-02, 4.98417090e+03
9.32929516e-02, 5.00623730e+03
9.34931487e-02, 5.02759277e+03
9.36933458e-02, 5.03296436e+03
9.38935429e-02, 5.03835645e+03
9.40937400e-02, 5.04376855e+03
9.42939371e-02, 5.04926465e+03
9.44941342e-02, 5.05454834e+03
9.46943313e-02, 5.05991846e+03
9.48945284e-02, 5.06530762e+03
9.50947255e-02, 5.07071729e+03
9.52949226e-02, 5.07614697e+03
9.54951197e-02, 5.08159766e+03
9.56953168e-02, 5.08706885e+03
9.58955139e-02, 5.09256055e+03
9.60957110e-02, 5.09807275e+03
9.62959081e-02, 5.10360693e+03
9.64961052e-02, 5.10916016e+03
9.66963023e-02, 5.11473633e+03
9.68964994e-02, 5.12033398e+03
9.70966965e-02, 5.12595264e+03
9.72968936e-02, 5.13159180e+03
9.74970907e-02, 5.13725391e+03
9.76972878e-02, 5.14293799e+03
9.78974849e-02, 5.14864404e+03
9.80976820e-02, 5.15437207e+03
9.82978791e-02, 5.16696680e+03
9.84980762e-02, 5.18142822e+03
9.86982733e-02, 5.19603369e+03
9.88984704e-02, 5.21078320e+03
9.90986675e-02, 5.22568018e+03
9.92988646e-02, 5.24072754e+03
9.94990617e-02, 5.25592822e+03
9.96992588e-02, 5.27128320e+03
9.98994559e-02, 5.28679688e+03
1.00099653e-01, 5.30247217e+03
1.00299850e-01, 5.31814795e+03
1.00500047e-01, 5.33368652e+03
1.00700244e-01, 5.34938672e+03
1.00900441e-01, 5.36524805e+03
1.01100639e-01, 5.38127490e+03
1.01300836e-01, 5.39747168e+03
1.01501033e-01, 5.41383984e+03
1.01701230e-01, 5.43038428e+03
1.01901427e-01, 5.44710498e+03
1.02101624e-01, 5.46400830e+03
1.02301821e-01, 5.48109668e+03
1.02502018e-01, 5.49837451e+03
1.02702215e-01, 5.50412500e+03
1.02902412e-01, 5.50411670e+03
1.03102610e-01, 5.50410596e+03
1.03302807e-01, 5.50410010e+03
1.03503004e-01, 5.51121875e+03
1.03703201e-01, 5.52023242e+03
